"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Loyola Chicago",31,14,48.3,18.9,22.2,22.5,30.6,32.5,45.9,35.3,2016,"NO FINALISTA"
"Loyola Marymount",30,13,47.5,16.2,20.2,28.9,31.7,28.4,45.7,33.9,2016,"NO FINALISTA"
"Loyola MD",30,9,47.7,18.9,17,31.4,30.6,38.4,48.7,30.4,2016,"NO FINALISTA"
"LSU",33,19,51.1,16.2,18.8,29.8,29.9,43,52,32.7,2016,"NO FINALISTA"
"Maine",30,8,49.2,20.8,21,27.9,32.3,32,48.3,33.9,2016,"NO FINALISTA"
"Manhattan",31,13,50.1,20.5,22.6,23.5,32.5,39.8,47.6,36.1,2016,"NO FINALISTA"
"Marist",30,7,49.4,17.3,16.9,24.3,32,35.9,48.1,34.2,2016,"NO FINALISTA"
"Marquette",33,20,52,20,19,28.1,30.7,40.5,52.4,33.9,2016,"NO FINALISTA"
"Marshall",33,17,54.2,16.4,17.1,26.6,30.9,31.2,57.2,33.7,2016,"NO FINALISTA"
"Maryland",35,26,55.2,18.9,16.4,29.1,29.9,37,55.8,36.2,2016,"FINALISTA"
"Maryland Eastern Shore",31,9,49.2,23,18.8,31.4,29.7,37.3,49.5,32.4,2016,"NO FINALISTA"
"Massachusetts",32,14,49.1,17.5,17.1,25.9,30.4,36.5,48.8,33,2016,"NO FINALISTA"
"McNeese St.",26,7,46.7,17.7,16.1,28.1,33,36.2,44.9,33.2,2016,"NO FINALISTA"
"Memphis",34,19,46.1,16.4,18.9,32.4,29.6,41.9,45.1,32.4,2016,"NO FINALISTA"
"Mercer",32,16,49.4,18.9,16.6,36.1,27.8,31.7,47.9,35.2,2016,"NO FINALISTA"
"Miami FL",35,27,54.2,16.5,17.4,30.1,29.5,40.7,53.2,37.5,2016,"FINALISTA"
"Miami OH",32,12,45.3,18.5,20.8,27.9,31.2,36.1,44.8,30.8,2016,"NO FINALISTA"
"Michigan",35,22,54.5,14.5,17.9,24.8,26.4,27.8,52.6,38,2016,"FINALISTA"
"Michigan St.",35,29,56.3,17.6,14.2,37.1,24.3,30,51.4,43.4,2016,"FINALISTA"
"Middle Tennessee",33,23,51.7,17.1,19.4,28.7,25.7,34.9,47.8,39.2,2016,"FINALISTA"
"Milwaukee",31,18,52.8,15.8,15.6,27.1,25.6,38.3,51.9,35.9,2016,"NO FINALISTA"
"Minnesota",31,8,45.9,16.5,17.8,26.5,29.2,37.1,45.6,31,2016,"NO FINALISTA"
"Mississippi",32,20,48.1,17.1,20.1,34.6,31.1,41.3,46.5,33.8,2016,"NO FINALISTA"
"Mississippi St.",31,14,51.7,18,18.5,29.7,32.9,29.5,52.6,33.4,2016,"NO FINALISTA"
"Mississippi Valley St.",35,8,43,18.5,19.4,27.1,34.6,31.3,42,30.3,2016,"NO FINALISTA"
"Missouri",31,10,47.2,18,16,26.8,29.8,39.6,47.6,31,2016,"NO FINALISTA"
"Missouri St.",31,12,46.1,18.6,17.6,28,28.1,39.3,45.3,32,2016,"NO FINALISTA"
"Monmouth",36,28,49.9,16.5,20.1,28.6,30.7,38.4,47.2,36.6,2016,"NO FINALISTA"
"Montana",30,18,53.4,18.3,18.7,28.4,24.9,36.8,51.8,37.3,2016,"NO FINALISTA"
"Montana St.",30,13,50.8,17.3,16.9,33,27.5,30.7,47.2,37.2,2016,"NO FINALISTA"
"Morehead St.",35,21,48,18.6,21.4,38.6,29,35.3,45.8,36.2,2016,"NO FINALISTA"
"Morgan St.",30,8,44,16.7,20.8,30.4,33.9,35.8,43.6,30.1,2016,"NO FINALISTA"
"Mount St. Mary's",33,14,45.8,17.2,24.6,25.3,33.7,30.6,44.8,31.7,2016,"NO FINALISTA"
"Murray St.",29,15,51.6,17.8,19.2,28.7,26.2,34.1,50.1,36.1,2016,"NO FINALISTA"
"Navy",32,18,49.5,19.9,20.3,32.6,27.2,42.8,50.8,30.5,2016,"NO FINALISTA"
"Nebraska",34,16,50.3,17.4,19.7,31.8,28.1,32.6,49.4,34.7,2016,"NO FINALISTA"
"Nebraska Omaha",30,16,51.9,16.6,20.3,28.1,31.6,42.6,52.6,33.6,2016,"NO FINALISTA"
"Nevada",36,22,45.5,17.6,17.3,30.7,30.3,43.2,46.3,29.1,2016,"NO FINALISTA"
"New Hampshire",31,18,46.7,16.8,15.1,29.5,21.7,36.6,45,33.2,2016,"NO FINALISTA"
"New Mexico",32,17,52,21,17,30.5,28.6,43.9,51,36.3,2016,"NO FINALISTA"
"New Mexico St.",32,21,50.2,20.2,16.2,36,25.1,36.9,50.7,32.5,2016,"NO FINALISTA"
"New Orleans",27,7,45.1,19.7,21.4,34.8,33.5,43.2,43.8,32.5,2016,"NO FINALISTA"
"Niagara",32,7,44.9,21.1,16.9,32.8,31.3,34,46.2,28.2,2016,"NO FINALISTA"
"Nicholls St.",31,8,47.1,22,18.2,25,34.5,40.4,47.7,30.9,2016,"NO FINALISTA"
"NJIT",34,19,51.8,18.2,19.2,26.8,31.1,33.7,51.1,35.1,2016,"NO FINALISTA"
"Norfolk St.",32,15,48.7,17.7,19.1,32.2,34.3,41.5,46.7,34.7,2016,"NO FINALISTA"
"North Carolina",40,33,52.6,15.4,18.2,40.7,30,32.3,53.9,32.7,2016,"FINALISTA"
"North Carolina A&T",31,10,45.8,19.5,18.2,29.8,31.5,37,44.8,31.8,2016,"NO FINALISTA"
"North Carolina Central",29,10,47.7,20.4,18.5,33.9,31.1,38.7,46.3,33.9,2016,"NO FINALISTA"
"North Carolina St.",33,16,48.5,16.1,15,36.3,30.4,38.9,46.9,34.8,2016,"NO FINALISTA"
"North Dakota",30,14,50.6,18.1,19.6,23.8,25.9,39.3,48.7,36.7,2016,"NO FINALISTA"
"North Dakota St.",31,18,49.9,16.2,16.9,25.6,26.2,33.9,49.1,34.1,2016,"NO FINALISTA"
"North Florida",31,19,57.9,15.3,14.4,24.1,33.4,28.7,54.7,40.9,2016,"NO FINALISTA"
"North Texas",30,10,49.3,19.5,17.2,30.3,31.2,44.1,49.8,32.2,2016,"NO FINALISTA"
"Northeastern",32,17,51.7,18.2,17.2,25.9,28.8,38.7,48.5,37.2,2016,"NO FINALISTA"
"Northern Arizona",28,3,45.2,18.1,17.5,22.3,29.6,36.1,42.3,33.4,2016,"NO FINALISTA"
"Northern Colorado",29,8,50.7,19.9,17.7,29.2,29.8,43.4,48.8,36.4,2016,"NO FINALISTA"
"Northern Illinois",30,17,47.8,18.5,19.9,32.1,27.7,41.7,44.8,35.6,2016,"NO FINALISTA"
"Northern Iowa",35,22,53.2,15.2,18.5,17.7,27.4,34.1,51.3,37.2,2016,"FINALISTA"
"Northern Kentucky",28,7,50.3,19.7,16.1,26.5,29.4,31.2,48.6,35.3,2016,"NO FINALISTA"
"Northwestern",32,20,52.5,15.8,16.4,30.5,28.3,28.4,51.6,35.8,2016,"NO FINALISTA"
"Northwestern St.",24,5,50.2,19.5,18.6,27.3,38.6,35.2,49.5,34.3,2016,"NO FINALISTA"
"Notre Dame",36,24,54,15.3,14.8,32.7,32.1,32.9,52.9,37.4,2016,"FINALISTA"
"Oakland",35,23,53.1,15.2,16.5,31.2,29.5,41.8,49.3,39.8,2016,"NO FINALISTA"
"Ohio",34,22,54.2,16.9,14.5,24.9,25.8,37.4,52.3,38.2,2016,"NO FINALISTA"
"Ohio St.",35,21,49.4,18.8,17.1,30.2,29.1,36,49,33.4,2016,"NO FINALISTA"
"Oklahoma",37,29,54.3,18.3,17.7,31.2,30.5,33,48.2,42.2,2016,"FINALISTA"
"Oklahoma St.",32,10,48.3,19.1,17.5,28.8,32.3,38.3,47.8,32.8,2016,"NO FINALISTA"
"Old Dominion",38,25,47.9,14.4,17.2,36.6,27.1,31,48.7,30.1,2016,"NO FINALISTA"
"Oral Roberts",29,12,50.5,17.3,15.9,28.1,30,36.6,48,38,2016,"NO FINALISTA"
"Oregon",37,30,52.3,16.1,20.2,34.1,30.5,40.3,52.6,34.4,2016,"FINALISTA"
"Oregon St.",31,18,49.8,16.6,19.5,29,32.2,36.8,46.9,37.4,2016,"FINALISTA"
"Pacific",26,6,49,19.8,16.5,28.5,29.6,38.4,49.3,32.2,2016,"NO FINALISTA"
"Penn",27,10,49,19.4,16.7,27.9,30.5,31.9,51.3,30.4,2016,"NO FINALISTA"
"Penn St.",32,16,46.6,16.9,17.6,28.7,29.4,34.5,45.9,31.7,2016,"NO FINALISTA"
"Pepperdine",31,17,49,16,16.1,30.3,29.8,41.1,48.3,34,2016,"NO FINALISTA"
"Pittsburgh",32,20,51.1,17.5,16.9,36.9,27.5,36.1,50.4,35,2016,"FINALISTA"
"Portland",31,11,49.9,16.8,18.4,30.7,34.2,31.4,47,36.3,2016,"NO FINALISTA"
"Portland St.",29,11,51.2,17.4,19.1,28.7,30.7,33.9,52.7,31.5,2016,"NO FINALISTA"
"Prairie View A&M",31,7,41.8,21.8,23.4,30.7,36.3,36.4,42.1,27.3,2016,"NO FINALISTA"
"Presbyterian",28,8,47.3,21,19,26,31.4,34.8,47.7,30.8,2016,"NO FINALISTA"
"Princeton",28,21,54.2,16.2,18.2,28,26.3,33.9,52,38.1,2016,"NO FINALISTA"
"Providence",35,24,48,16.1,20.6,30.4,30.3,37.3,48,32.1,2016,"FINALISTA"
"Purdue",35,26,53.6,17.7,13.7,35,23.4,35.4,52.8,36.7,2016,"FINALISTA"
"Quinnipiac",30,9,42.8,21.7,17.4,38.4,29.3,28,38.3,34.1,2016,"NO FINALISTA"
"Radford",29,14,50.2,19.3,17,34.4,30.1,29,49.5,34.4,2016,"NO FINALISTA"
"Rhode Island",32,17,50.4,17.5,18.8,30.6,26.3,37.6,48.3,36.5,2016,"NO FINALISTA"
"Rice",30,10,51.2,17.9,18.4,26.7,32.2,41.5,53.4,31.9,2016,"NO FINALISTA"
"Richmond",32,16,54.7,14.7,18.2,23.2,31.7,35.2,55.4,35.6,2016,"NO FINALISTA"
"Rider",33,13,48.3,19.2,18.2,28.6,29.4,35.4,48.9,31.5,2016,"NO FINALISTA"
"Robert Morris",32,10,46.6,20.4,22,26.1,34.7,35.5,49.6,27.6,2016,"NO FINALISTA"
"Rutgers",31,6,45.8,18.9,16.1,25.3,35.9,34.5,44.9,32.2,2016,"NO FINALISTA"
"Sacramento St.",29,12,49.3,16.7,17.6,26.3,31.2,34.9,49.2,33.1,2016,"NO FINALISTA"
"Sacred Heart",30,12,48.4,20.2,18,33.4,32.4,38.7,49.2,31.1,2016,"NO FINALISTA"
"Saint Joseph's",36,28,51.2,14.3,16.1,28.3,25.8,37.4,52.3,32.7,2016,"FINALISTA"
"Saint Louis",32,11,47.7,19.5,18.5,20.7,27.9,37.8,46.9,32.8,2016,"NO FINALISTA"
"Saint Mary's",34,28,58.4,15.4,15.5,29.8,26.7,29,56.4,41,2016,"NO FINALISTA"
"Saint Peter's",30,14,47.7,19.5,17.7,30.4,26.3,35.1,47,32.7,2016,"NO FINALISTA"
"Sam Houston St.",30,15,49.3,16.9,18.7,28.8,23.7,36.6,48,34.1,2016,"NO FINALISTA"
"Samford",31,11,50.1,19.6,20.9,29.4,32.5,44.7,51,31.9,2016,"NO FINALISTA"
"San Diego",29,8,45.2,20.6,17.4,26,28.8,33.9,46.1,29.2,2016,"NO FINALISTA"
"San Diego St.",36,26,47.2,18.4,18,33.9,27.2,42.5,46.3,32.6,2016,"NO FINALISTA"
"San Francisco",29,14,50,17.8,16,33.4,30.2,39.1,48.5,35.1,2016,"NO FINALISTA"
"San Jose St.",28,6,46.8,19.2,17.2,27.1,29.7,38.5,48.2,29.8,2016,"NO FINALISTA"
"Santa Clara",30,10,47.9,16.9,16.7,24.4,30,33.8,45.2,34.8,2016,"NO FINALISTA"
"Savannah St.",30,14,45.1,21.9,22.2,25.8,30.8,39.8,44.2,31.1,2016,"NO FINALISTA"
"Seattle",30,13,47.5,23.1,18.9,32.5,31.3,36,44.7,35.5,2016,"NO FINALISTA"
"Seton Hall",34,25,49.8,19.4,19.5,34.7,30.8,40.4,48.8,34.7,2016,"FINALISTA"
"Siena",34,21,52,22.2,17.3,39.1,30,40.8,50.7,36.8,2016,"NO FINALISTA"
"SIU Edwardsville",28,6,44.8,19.7,17.6,32.4,29.3,36.9,44.4,30.4,2016,"NO FINALISTA"
"SMU",30,25,55.3,18.8,18.3,41.2,28.5,33.8,52.5,42,2016,"NO FINALISTA"
"South Alabama",31,12,46.1,20.6,18,30.5,32.5,38.3,45.1,31.9,2016,"NO FINALISTA"
"South Carolina",33,24,48.5,18.9,20.5,37.5,29.5,43.2,46.6,35.4,2016,"NO FINALISTA"
"South Carolina St.",32,17,49.8,17,17.5,29.1,31.4,34.8,49.6,33.6,2016,"NO FINALISTA"
"South Dakota",30,12,51.7,16.4,19,25,30.2,30.1,50.5,36.4,2016,"NO FINALISTA"
"South Dakota St.",32,24,51.3,17.1,17.2,32.4,25.5,40.2,49.7,36.1,2016,"FINALISTA"
"South Florida",33,8,45.4,21.9,14.3,34.6,32.5,33,46.2,28.6,2016,"NO FINALISTA"
"Southeast Missouri St.",27,3,44.1,19.8,18.5,28.5,29.6,35.7,44.6,28.8,2016,"NO FINALISTA"
"Southeastern Louisiana",31,10,51.1,21.5,19.1,29.4,33.6,37,49.1,36.5,2016,"NO FINALISTA"
"Southern",32,19,48.5,16.3,19.6,28.1,31.2,38.1,47.6,33.8,2016,"FINALISTA"
"Southern Illinois",32,22,51.1,19.4,21.3,31.7,25.6,39.3,51,34.3,2016,"NO FINALISTA"
"Southern Miss",27,7,49.4,20.3,17.7,23.3,29.4,36.1,45.2,35.9,2016,"NO FINALISTA"
"Southern Utah",28,4,49.3,18.8,17.4,23.9,31.2,35.4,46.5,36.4,2016,"NO FINALISTA"
"St. Bonaventure",31,22,51.5,16.5,19,31.3,33.4,37.5,48.8,37.3,2016,"NO FINALISTA"
"St. Francis NY",31,14,45.9,20.4,18.6,32.2,30.2,36.1,46.2,30.3,2016,"NO FINALISTA"
"St. Francis PA",29,12,48.3,18.5,16.4,31.5,30.8,38.5,45.3,35.8,2016,"NO FINALISTA"
"St. John's",31,7,45.4,20.9,20.1,27.5,30.9,38,44.1,32,2016,"NO FINALISTA"
"Stanford",29,14,47.5,17.5,19.8,30.8,32.1,45.3,47.4,31.8,2016,"NO FINALISTA"
"Stephen F. Austin",30,24,54.8,17.7,25.9,33.5,30.7,34.3,54.5,36.9,2016,"FINALISTA"
"Stetson",30,8,51.2,16.8,15.7,25.2,32.9,33.8,49.4,36.2,2016,"NO FINALISTA"
"Stony Brook",31,24,52.2,17.3,18.4,34.8,26,32.2,50.7,37.2,2016,"FINALISTA"
"Syracuse",37,23,50,18.1,20.4,33.5,35.3,35.4,47.2,36,2016,"FINALISTA"
"TCU",33,12,45.7,20.7,21.1,29.3,31.5,45.6,43.7,33.5,2016,"NO FINALISTA"
"Temple",33,21,47,13.8,16.2,29.1,29.7,26.6,44.9,33.7,2016,"FINALISTA"
"Tennessee",34,15,48,15.8,17.3,32.1,34.5,34.1,47.4,32.7,2016,"NO FINALISTA"
"Tennessee Martin",33,18,50.5,18.2,17,29.5,29.4,35.6,49.8,34.4,2016,"NO FINALISTA"
"Tennessee St.",29,18,50.4,19.2,21.6,31.4,29,41.5,50,34.1,2016,"NO FINALISTA"
"Tennessee Tech",29,17,52.4,17.8,16,27.6,31.9,44,51.3,35.9,2016,"NO FINALISTA"
"Texas",33,20,49.4,15.4,18.5,30.7,32,39.5,48.5,34.1,2016,"FINALISTA"
"Texas A&M",37,28,51.2,17.4,20.7,34.8,29.2,38.1,51.3,34.1,2016,"FINALISTA"
"Texas A&M Corpus Chris",31,23,49.2,17.7,22.5,30.9,33.2,37.7,48.2,34.1,2016,"NO FINALISTA"
"Texas Southern",33,18,51.8,19.3,15.8,35.3,28.4,41.5,52.3,33.8,2016,"NO FINALISTA"
"Texas St.",29,13,46.6,17.8,20.8,29.8,30.6,37.7,46,32.1,2016,"NO FINALISTA"
"Texas Tech",32,19,50,17.8,19,31.3,32.3,42.2,49.2,34.6,2016,"FINALISTA"
"The Citadel",29,7,48.8,16.9,19.3,26.7,35.8,31.1,50.1,31.7,2016,"NO FINALISTA"
"Toledo",31,16,52.7,16.6,17.3,27.9,24.6,34.3,51.7,36.3,2016,"NO FINALISTA"
"Towson",31,18,46.9,17.9,17.7,38.3,27.3,45.1,46.3,32.1,2016,"NO FINALISTA"
"Troy",29,8,45.7,16.7,17.8,29.4,31.5,37.2,44.8,31.5,2016,"NO FINALISTA"
"Tulane",34,13,45.4,19.5,18.4,32.1,29.8,31.3,45.5,30.1,2016,"NO FINALISTA"
"Tulsa",32,20,50.3,15.6,20.4,28,30.5,39.6,51.1,32.6,2016,"FINALISTA"
"UAB",32,25,53.6,17.8,18,32.4,30.4,33.4,52.6,37,2016,"NO FINALISTA"
"UC Davis",28,9,47.9,20.7,19.7,25,28.4,33.6,45.5,35.9,2016,"NO FINALISTA"
"UC Irvine",36,26,51.1,18.2,17.4,29.1,28.2,35.1,49.3,36.7,2016,"NO FINALISTA"
"UC Riverside",31,12,48.9,19.7,17.2,28.4,28.1,36.8,47,34.5,2016,"NO FINALISTA"
"UC Santa Barbara",32,18,50.3,18.5,17.5,28.8,27.9,27.4,48.4,35.8,2016,"NO FINALISTA"
"UCF",30,12,49.2,21.3,13.4,31.3,30.5,37.2,50.1,31.8,2016,"NO FINALISTA"
"UCLA",32,15,50.3,16.9,16.1,32.8,30.4,32.3,48.8,36.3,2016,"NO FINALISTA"
"UMass Lowell",28,10,53.6,21.3,19.2,25.1,32.9,33.2,53.2,36.2,2016,"NO FINALISTA"
"UMBC",32,7,50.1,17.4,19.4,24.9,28.9,42.2,50.4,33.1,2016,"NO FINALISTA"
"UMKC",28,9,48.8,19.4,17.2,32.7,31.2,35.3,45.5,36.8,2016,"NO FINALISTA"
"UNC Asheville",32,20,49.6,18.6,22.2,31.6,29.3,41.8,50.2,32.1,2016,"FINALISTA"
"UNC Greensboro",31,12,51.3,17.7,17.4,27.1,27.5,28,49.1,36.3,2016,"NO FINALISTA"
"UNC Wilmington",31,23,51.2,15.9,19.9,32.1,30.1,35.6,51,34.4,2016,"FINALISTA"
"UNLV",31,16,49.7,18.9,19.5,28.3,30.6,40.9,50.1,32.8,2016,"NO FINALISTA"
"USC",34,21,52.2,16.6,16.7,32.1,31.6,35.1,49.4,38.7,2016,"FINALISTA"
"USC Upstate",28,7,50.1,20.2,15.1,33.1,31.9,30.9,48.4,35.7,2016,"NO FINALISTA"
"UT Arlington",34,23,49.2,18.7,20.1,36.3,26.2,34.4,49.5,32.5,2016,"NO FINALISTA"
"UT Rio Grande Valley",27,5,47.2,17.7,14.4,23,35.7,29.6,45.7,33.1,2016,"NO FINALISTA"
"Utah",35,26,55.1,18.2,15.3,29.2,27.8,37.9,55.5,36.3,2016,"FINALISTA"
"Utah St.",29,14,52.2,17.5,16.5,29.2,28.7,33.6,49.2,37.9,2016,"NO FINALISTA"
"Utah Valley",27,9,48.6,17.4,16.6,22.9,31,34.5,46.3,34.6,2016,"NO FINALISTA"
"UTEP",32,18,52.4,17.1,19.2,24.5,31.7,40.9,51.3,36.5,2016,"NO FINALISTA"
"UTSA",30,4,47,18.1,17.2,26,27.8,37.4,46.5,32.1,2016,"NO FINALISTA"
"Valparaiso",35,28,50.7,19,18.5,35.2,24.8,35.1,48.3,36.5,2016,"NO FINALISTA"
"Vanderbilt",33,19,52.9,16.8,14.2,27.2,29.3,39.8,50.1,38.2,2016,"FINALISTA"
"VCU",36,25,51,16.3,21.4,33.2,27.7,32.2,50.1,35.2,2016,"FINALISTA"
"Vermont",36,22,54.1,19.2,16.7,28.5,28.2,38.2,52.6,38.2,2016,"NO FINALISTA"
"Villanova",40,35,56.1,16.3,20.6,28.2,29.4,34.1,57.4,36.2,2016,"FINALISTA"
"Virginia",37,29,54.8,15.1,18.8,29.9,25.2,32.1,52.6,40.3,2016,"FINALISTA"
"Virginia Tech",35,20,50,18,17.9,30.3,31.8,49.4,49.1,34.8,2016,"NO FINALISTA"
"VMI",27,6,47.1,18.5,18.7,26.3,34,27,45.7,32.5,2016,"NO FINALISTA"
"Wagner",33,22,47.6,19.6,20.7,36.9,27.5,32.6,46.4,33.6,2016,"NO FINALISTA"
"Wake Forest",31,11,49.4,20.1,15.2,32.7,31.2,43.2,50.4,31.6,2016,"NO FINALISTA"
"Washington",34,19,48.1,17.4,20.5,33.4,35.7,41.2,47.3,33.1,2016,"NO FINALISTA"
"Washington St.",30,8,50.7,19.7,14.7,23.9,29.6,31.1,50.3,34.6,2016,"NO FINALISTA"
"Weber St.",32,23,54.5,19.6,15.6,25.9,25.6,45.7,55.3,35.5,2016,"FINALISTA"
"West Virginia",35,26,49.8,20,25,42,27.1,46.2,50.3,32.5,2016,"FINALISTA"
"Western Carolina",31,13,48.8,20,20.8,30.4,32.7,38.2,48.3,33,2016,"NO FINALISTA"
"Western Illinois",24,7,49.3,18.2,15.2,25.5,27,32,46,37.8,2016,"NO FINALISTA"
"Western Kentucky",32,16,52.5,19,15,33.6,28.6,39.6,51.5,36.3,2016,"NO FINALISTA"
"Western Michigan",30,11,47.6,17.9,17.1,30.6,25.5,43.8,46.3,33.7,2016,"NO FINALISTA"
"Wichita St.",34,25,48.9,14.7,23.2,31.7,23.6,37.4,49.2,32.3,2016,"FINALISTA"
"William & Mary",29,18,54.9,15.9,15.3,25.8,27.2,36.6,54.8,36.7,2016,"NO FINALISTA"
"Winthrop",29,20,54.2,17.8,15.9,26,32,41.1,53.9,36.4,2016,"NO FINALISTA"
"Wisconsin",35,22,48.5,17.1,18.6,33.1,27.7,38,46.6,34.9,2016,"FINALISTA"
"Wofford",30,13,51.7,18,17.6,26.2,25.9,38.4,45.8,40.9,2016,"NO FINALISTA"
"Wright St.",33,20,51.4,16.5,20.6,19.1,25.5,33,48.3,37.8,2016,"NO FINALISTA"
"Wyoming",30,12,53.4,17,15.8,18.1,30.4,45.9,50.8,37.2,2016,"NO FINALISTA"
"Xavier",34,28,51.4,17.4,19.3,35.2,26,41.7,49.8,36.3,2016,"FINALISTA"
"Yale",29,22,52.2,19.9,17.8,39.3,24.3,41.7,51.4,36,2016,"FINALISTA"
"Youngstown St.",30,9,49,15.6,15.7,22.7,33.8,29.8,45.5,37,2016,"NO FINALISTA"
"Gonzaga",39,37,56.6,16.2,17.1,30,26.2,39,56.3,38.2,2017,"FINALISTA"
"North Carolina",39,33,51.7,16.2,18.6,41.3,25,34.3,51,35.5,2017,"FINALISTA"
"Villanova",36,32,57.5,17.1,20.1,30.2,27.8,35,59.2,36.9,2017,"FINALISTA"
"Kansas",36,31,56.1,17.6,18.6,34.1,29.7,36,53.6,40.4,2017,"FINALISTA"
"Kentucky",38,32,52.9,15.7,19.2,33.5,27.7,40.9,52.9,35.3,2017,"FINALISTA"
"Louisville",34,25,51.4,16,19.6,36.7,28.5,34,50.5,35.5,2017,"FINALISTA"
"Duke",37,28,54.8,16.3,17.3,31.7,29.8,39.3,53.5,37.9,2017,"FINALISTA"
"Arizona",37,32,53.7,16.6,17.4,33.2,26,40.5,51.5,39,2017,"FINALISTA"
"Oregon",38,33,55.5,17.1,19.3,32.4,29.5,34.4,54.5,38,2017,"FINALISTA"
"Baylor",34,27,52.5,20.6,17.1,39.8,29.4,33.9,52.2,35.3,2017,"FINALISTA"
"UCLA",36,31,59.8,15.1,15.8,29.1,28.6,26.8,59.1,40.6,2017,"FINALISTA"
"Florida St.",35,26,53.7,16.4,19.5,33.8,29.8,38.4,54.4,34.7,2017,"FINALISTA"
"Florida",36,27,51.6,16.9,21,32.1,29.5,40.2,50.3,35.9,2017,"FINALISTA"
"West Virginia",37,28,51.3,17,27.6,37.9,31.9,38.9,49.8,36.2,2017,"FINALISTA"
"Purdue",35,27,55.7,18.3,16.6,30.8,24.4,33.3,52.7,40.3,2017,"FINALISTA"
"Butler",34,25,54.6,15,19.6,27.2,27,37.1,54.5,36.6,2017,"FINALISTA"
"Virginia",34,23,52.4,15.6,20.7,28.3,24.5,26,49.7,38.5,2017,"FINALISTA"
"Iowa St.",35,24,55,14.1,19.5,25.7,31.6,27.6,51.8,40,2017,"FINALISTA"
"Notre Dame",36,26,53.6,14,18.7,27.3,30.8,28.6,50.9,38.4,2017,"FINALISTA"
"Minnesota",34,24,48.7,16.1,17.6,29.7,30.2,39.6,47.5,34.3,2017,"FINALISTA"
"SMU",35,30,54.6,16.9,18.3,37.2,26.4,36,51,40.6,2017,"FINALISTA"
"Cincinnati",36,30,52,15.3,20.2,35.5,29.4,32.5,52.1,34.5,2017,"FINALISTA"
"Creighton",34,25,57.6,17.1,19.3,24.2,29.6,27.9,56.4,39.8,2017,"FINALISTA"
"Maryland",32,24,52.4,19,18,30.4,32.3,38.5,51,36.3,2017,"FINALISTA"
"Michigan",38,26,57,14.2,19.5,24.7,30,30.1,56.3,38.5,2017,"FINALISTA"
"Saint Mary's",34,29,57.8,17.5,15.3,33.1,21.9,27.8,56.9,39.4,2017,"FINALISTA"
"South Carolina",36,26,47.3,18.4,24.3,34,31.6,40.2,45.9,33.4,2017,"FINALISTA"
"Dayton",31,24,53.6,16.9,20.9,25.6,27.4,43.4,51,38.4,2017,"FINALISTA"
"Wisconsin",37,27,52.1,17,19.5,35.9,25.9,32.9,51.1,35.9,2017,"FINALISTA"
"Miami FL",33,21,51,19.5,18.3,33.4,28.2,34.3,49.8,35.6,2017,"FINALISTA"
"Northwestern",36,24,49.7,16,17.9,30.8,30.6,30.5,48.8,34.2,2017,"FINALISTA"
"Arkansas",36,26,51.4,16.6,18.5,31.9,34.2,38.1,50,36.5,2017,"FINALISTA"
"Vanderbilt",35,19,52.1,18.2,16.1,24.8,27,34.8,48.1,37.6,2017,"FINALISTA"
"Michigan St.",35,20,54,20.5,15.9,29.2,27.3,33.5,52.9,37.3,2017,"FINALISTA"
"Virginia Tech",33,22,56.9,17.2,16.5,23.4,30.5,40.9,54.6,40.3,2017,"FINALISTA"
"Seton Hall",33,21,49.9,19.5,17.5,35.7,25.4,37.6,49.6,33.8,2017,"FINALISTA"
"Wichita St.",35,31,54.2,16.2,19.3,34.2,24.2,40.4,50.7,40.2,2017,"FINALISTA"
"Oklahoma St.",32,20,54,18.2,20.3,38.3,31.9,37.4,50.4,40.3,2017,"FINALISTA"
"Marquette",32,19,57.5,17.3,18.3,27.1,29.2,31,52.7,42.9,2017,"FINALISTA"
"VCU",35,26,51,17.8,21,31.3,27.5,36.4,51.5,33.1,2017,"FINALISTA"
"Wake Forest",33,19,54.1,16.4,16.2,30.7,27.7,40.7,52.1,38.5,2017,"FINALISTA"
"Kansas St.",35,21,52.7,19.1,22.1,29.5,32.3,41.1,51.8,36.2,2017,"FINALISTA"
"Rhode Island",35,25,50.8,16.4,19.4,32.8,29.7,39.2,51.2,33.3,2017,"FINALISTA"
"Xavier",38,24,51.9,18.4,17.5,34.5,25.5,41.1,52,34.5,2017,"FINALISTA"
"Providence",33,20,51.4,18.4,20.3,26.4,28.6,38.1,49.1,37.1,2017,"FINALISTA"
"USC",36,26,52.2,15.7,17.9,31,31.4,36.8,51,36.2,2017,"FINALISTA"
"Middle Tennessee",35,31,54.1,15.6,19.8,30.1,23.8,30,53.6,36.9,2017,"FINALISTA"
"Nevada",35,28,52.5,15.5,15.9,30.4,26.3,41.3,49.2,38.2,2017,"FINALISTA"
"Princeton",29,23,53.2,15.2,20.2,24.1,24.7,24.4,50.5,37.6,2017,"FINALISTA"
"UNC Wilmington",33,29,55,13.9,20.1,32.5,28.5,30.8,55.7,36.1,2017,"FINALISTA"
"Vermont",34,29,55.3,17,19.6,29.8,27.1,34.3,55.5,36.7,2017,"FINALISTA"
